Time,Plant 1,Plant 2,Plant 3,Plant 4
Sat Aug 13 18:27:42 2022,1709.0,1728.0,2197.0,188.0
Sat Aug 13 18:27:43 2022,1718.0,1747.0,2211.0,211.0
Sat Aug 13 18:27:44 2022,1705.0,1722.0,2201.0,190.0
Sat Aug 13 18:27:45 2022,1698.0,1760.0,2202.0,22.0
Sat Aug 13 18:27:46 2022,1741.0,1750.0,2213.0,203.0
Sat Aug 13 18:27:48 2022,1703.0,1702.0,2203.0,214.0
Sat Aug 13 18:27:49 2022,1692.0,1725.0,2205.0,185.0
Sat Aug 13 18:27:50 2022,1730.0,1743.0,2197.0,194.0
Sat Aug 13 18:27:51 2022,1701.0,1733.0,2201.0,192.0
Sat Aug 13 18:27:52 2022,1711.0,1776.0,2187.0,190.0
Sat Aug 13 18:27:53 2022,1719.0,1735.0,2198.0,262.0
Sat Aug 13 18:27:55 2022,1729.0,1794.0,2203.0,193.0
Sat Aug 13 18:27:56 2022,1680.0,1764.0,2187.0,236.0
Sat Aug 13 18:27:57 2022,1697.0,1746.0,2194.0,175.0
Sat Aug 13 18:27:58 2022,1717.0,1778.0,2194.0,214.0
Sat Aug 13 18:27:59 2022,1744.0,1723.0,2198.0,207.0
Sat Aug 13 18:28:00 2022,1723.0,1755.0,2206.0,190.0
Sat Aug 13 18:28:01 2022,1750.0,1740.0,2195.0,208.0
Sat Aug 13 18:28:03 2022,1741.0,1749.0,2210.0,272.0
Sat Aug 13 18:28:04 2022,1725.0,1715.0,2212.0,256.0
Sat Aug 13 18:28:05 2022,1744.0,1724.0,2203.0,101.0
Sat Aug 13 18:28:06 2022,1728.0,1737.0,2205.0,258.0
Sat Aug 13 18:28:07 2022,1682.0,1741.0,2198.0,218.0
Sat Aug 13 18:28:08 2022,1662.0,1675.0,2192.0,227.0
Sat Aug 13 18:28:10 2022,1722.0,1744.0,2210.0,235.0
Sat Aug 13 18:28:11 2022,1675.0,1738.0,2199.0,0.0
Sat Aug 13 18:28:12 2022,1665.0,1757.0,2202.0,179.0
Sat Aug 13 18:28:13 2022,1701.0,1721.0,2204.0,196.0
Sat Aug 13 18:28:14 2022,1699.0,1719.0,2205.0,231.0
Sat Aug 13 18:28:15 2022,1719.0,1723.0,2197.0,172.0
Sat Aug 13 18:28:17 2022,1769.0,1728.0,2205.0,190.0
Sat Aug 13 18:28:18 2022,1680.0,1728.0,2215.0,205.0
Sat Aug 13 18:28:19 2022,1710.0,1742.0,2209.0,199.0
Sat Aug 13 18:28:20 2022,1695.0,1680.0,2189.0,237.0
Sat Aug 13 18:28:21 2022,1705.0,1744.0,2207.0,209.0
Sat Aug 13 18:28:22 2022,1722.0,1729.0,2197.0,200.0
Sat Aug 13 18:28:23 2022,1732.0,1710.0,2199.0,199.0
Sat Aug 13 18:28:25 2022,1728.0,1727.0,2193.0,176.0
Sat Aug 13 18:28:26 2022,1730.0,1697.0,2208.0,233.0
Sat Aug 13 18:28:27 2022,1767.0,1738.0,2198.0,194.0
